Category,Headline,Article,Final_Category
World,"എലിസബത്ത് രാജ്ഞി അംഗീകരിച്ചു; ബ്രെക്‌സിറ്റ് നിയമമായി
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ലണ്ടന്‍: യൂറോപ്യന്‍ യൂണിയനിലെ അംഗത്വം ഉപേക്ഷിച്ച് ബ്രിട്ടന് പുറത്തുവരാനുള്ള ബ്രെക്‌സിറ്റ് ബില്ലിന് എലിസബത്ത് രാജ്ഞി അംഗീകാരം ..",യൂറോപ്യന്‍ യൂണിയന്‍ വിട്ടുപോരാനുള്ള ഹിതപരിശോധന നടന്നത് 2016ലാണ്. മൂന്നരവര്‍ഷത്തിലധികമായി തുടര്‍ന്ന അനിശ്ചിതത്വങ്ങള്‍ക്കൊടുവിലാണ് ഇപ്പോള്‍ ബ്രെക്‌സിറ്റ് നിയമം ആയിരിക്കുന്നത്.,business
Latest News,"പാനോ ആധാറോ നല്‍കിയില്ലെങ്കില്‍ ശമ്പളത്തില്‍നിന്ന് 20% നികുതി ഈടാക്കും
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ന്യൂഡല്‍ഹി: പാന്‍ നമ്പറോ ആധാര്‍ നമ്പറോ തൊഴിലുടമയ്ക്ക് നല്‍കിയില്ലെങ്കില്‍ ഇനിമുതല്‍ നിങ്ങളില്‍നിന്ന് 20 ..",പ്രത്യക്ഷ നികുതി ബോര്‍ഡിന്റെ ഏറ്റവും പുതിയ ടിഡിഎസ് സര്‍ക്കുലറിലാണ് ആധാര്‍കൂടി നിര്‍ബന്ധമാക്കിയതെന്ന് ടൈംസ് ഓഫ് ഇന്ത്യ റിപ്പോര്‍ട്ട് ചെയ്തു.,business
Latest News,"ധനരാജിനു വേണ്ടി കളത്തിലിറങ്ങാന്‍ ഗോകുലം; ടിക്കറ്റുകള്‍ വാങ്ങിക്കൂട്ടി വിജയനും ഛേത്രിയും
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    കോഴിക്കോട്: കളിക്കളത്തില്‍ വീണുമരിച്ച മുന്‍ കേരളതാരം ധനരാജിന്റെ കുടുംബത്തെ സഹായിക്കാനുള്ള ഗോകുലം കേരള എഫ്.സി.യുടെ ശ്രമത്തിന് ..",ടിക്കറ്റ് വാങ്ങാം,entertainment
World,"ഇന്ത്യയുടെ വളര്‍ച്ചാനിരക്കിലെ മാന്ദ്യം താത്കാലികമെന്ന് ഐ.എം.എഫ്. അധ്യക്ഷ 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ദാവോസ്: ഇന്ത്യയുടെ വളര്‍ച്ചാ നിരക്കിലെ മാന്ദ്യം താത്കാലികമാണെന്ന് ഐ.എം.എഫ്. അധ്യക്ഷ ക്രിസ്റ്റലീന ജോര്‍ജീവിയ. ഇന്ത്യയുടെ വളര്‍ച്ചാനിരക്ക് ..",ഇന്ത്യന്‍ സമ്പദ്‌വ്യവസ്ഥയുടെയും ആഗോള സമ്പദ്‌വ്യവസ്ഥയുടെയും പ്രതീക്ഷിത വളര്‍ച്ചാനിരക്കുകള്‍ കഴിഞ്ഞദിവസം ഐ.എം.എഫ്. വെട്ടിക്കുറച്ചിരുന്നു. നടപ്പ് സാമ്പത്തികവര്‍ഷത്തിലെ ഇന്ത്യയുടെ പ്രതീക്ഷിത വളര്‍ച്ചാനിരക്ക് 6.1 ശതമാനത്തില്‍നിന്ന് 4.8 ശതമാനത്തിലേക്കാണ് വെട്ടിക്കുറച്ചത്.,business
Latest News,"ബ്ലാസ്റ്റേഴ്‌സിന് ഇനി മാനംകാക്കാനുള്ള പോരാട്ടം; ശനിയാഴ്ച ഗോവന്‍ വെല്ലുവിളി
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            മഡ്ഗാവ്: ഇന്ത്യന്‍ സൂപ്പര്‍ലീഗ് ഫുട്ബോളില്‍ കേരള ബ്ലാസ്റ്റേഴ്‌സ് ശനിയാഴ്ച എഫ്.സി ഗോവയെ നേരിടും. ഗോവയുടെ സ്വന്തം ഫത്തോര്‍ദ ..",മഡ്ഗാവ്: ഇന്ത്യന്‍ സൂപ്പര്‍ലീഗ് ഫുട്ബോളില്‍ കേരള ബ്ലാസ്റ്റേഴ്‌സ് ശനിയാഴ്ച എഫ്.സി ഗോവയെ നേരിടും. ഗോവയുടെ സ്വന്തം ഫത്തോര്‍ദ സ്റ്റേഡിയത്തിലാണ് മത്സരം.,sports
Kerala,"സംസ്ഥാനത്ത് വീണ്ടും ബന്ധുനിയമനം;  ടിഎന്‍ സീമയുടെ ഭര്‍ത്താവ് ജയരാജ് സി-ഡിറ്റ് ഡയറക്ടര്‍ 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                തിരുവനന്തപുരം: ഒരിടവേളയ്ക്ക് ശേഷം സംസ്ഥാനത്ത് വീണ്ടും ബന്ധുനിയമന വിവാദം പുകയുന്നു. സിപിഎം സംസ്ഥാന സമിതി അംഗവും ഹരിത കേരള മിഷന്‍ ..",content highlights; G Jayaraj Again Appointed As C DIT Director,entertainment
World,ഇറാന്‍ മിസൈലാക്രമണത്തില്‍ 34 സൈനികര്‍ക്ക് തലച്ചോറിന് പരിക്കേറ്റതായി അമേരിക്കയുടെ സ്ഥിരീകരണം,വാഷിങ്ടണ്‍: ദിവസങ്ങള്‍ക്ക് മുമ്പ് ഇറാഖിലെ വ്യോമതാവളത്തിന് നേരെ ഇറാന്‍ നടത്തിയ മിസൈല്‍ ആക്രമണത്തില്‍ തങ്ങളുടെ 34 സൈനികര്‍ക്ക് തലച്ചോറിന് പരിക്കേറ്റതായി അമേരിക്കയുടെ വെളിപ്പെടുത്തല്‍. ഇതില്‍ പകുതി പേര്‍ പരിക്കില്‍ നിന്ന് മോചിതരായിട്ടുണ്ടെന്നും പെന്റഗണ്‍ അറിയിച്ചു. ഇറാന്‍ ആക്രമണത്തില്‍ തങ്ങള്‍ക്ക് കാര്യമായി നഷ്ടം വരുത്തിയിട്ടില്ലെന്ന അമേരിക്കന്‍ പ്രസിഡന്റ് ഡൊണാള്‍ഡ് ട്രംപിന്റെ അവകാശവാദങ്ങള്‍ നിരാകരിക്കുന്നതാണ് പെന്റഗണിന്റെ വെളിപ്പെടുത്തല്‍.,sports
India,"ഭോപ്പാല്‍ ദുരന്തം:നഷ്ടപരിഹാരം വര്‍ദ്ധിപ്പിക്കണമെന്ന കേന്ദ്രത്തിന്റെ ഹര്‍ജിയില്‍ വാദം ചൊവ്വാഴ്ചമുതല്‍
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ന്യൂഡല്‍ഹി: ഭോപ്പാല്‍ വാതക ദുരന്തത്തിലെ ഇരകള്‍ക്കുള്ള നഷ്ടപരിഹാരത്തുക ..","1989ല്‍ സുപ്രീം കോടതി പുറപ്പെടുവിച്ച ഉത്തരവില്‍, അമേരിക്കയിലെ യൂണിയന്‍ കാര്‍ബൈഡ് (ഇപ്പോള്‍ ഡൗ കെമിക്കല്‍സ്) കമ്പനിയോട് 750 കോടി രൂപ നഷ്ടപരിഹാരം നല്‍കാനായിരുന്നു ആവശ്യപ്പെട്ടിരുന്നത്. എന്നാല്‍ 7413 രൂപ കൂടി അധികമായി നല്‍കാന്‍ നിര്‍ദേശിക്കണം എന്നാവശ്യപ്പെട്ടാണ് കേന്ദ്ര സര്‍ക്കാര്‍ തിരുത്തല്‍ ഹര്‍ജി നല്‍കിയത്.",business
World,"മുസ്ലീംങ്ങള്‍ നേരിടുന്ന പീഡനം: ചൈനയെ പരസ്യമായി എതിര്‍ക്കില്ലെന്ന് പാകിസ്താന്‍
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ദാവോസ് (സ്വിറ്റ്‌സര്‍ലന്‍ഡ്): ചൈനയിലെ ഉയ്ഗൂര്‍ മുസ്ലീംങ്ങള്‍ നേരിടുന്ന പീഡനത്തില്‍ ചൈനയെ പരസ്യമായി എതിര്‍ക്കില്ലെന്ന് ..",സ്വിറ്റ്‌സര്‍ലാന്‍ഡിലെ ലോക സാമ്പത്തിക ഉച്ചകോടിക്കിടെ 'ഫോറിന്‍ പോളിസി'ക്ക് നല്‍കിയ അഭിമുഖത്തിലായിരുന്നു അദ്ദേഹത്തിന്റെ വെളിപ്പെടുത്തല്‍.,business
India,"മാറ്റങ്ങള്‍ കൊണ്ടുവരണമെങ്കില്‍ തിരഞ്ഞെടുപ്പില്‍ മത്സരിക്കണം- കശ്മീര്‍ ജനതയോട് ഗവര്‍ണര്‍ 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ജമ്മു: വോട്ട് ചെയ്താല്‍ മാത്രംപോര മാറ്റങ്ങള്‍ കൊണ്ടുവരണമെങ്കില്‍ തിരഞ്ഞെടുപ്പില്‍ മത്സരിക്കാന്‍ തയ്യാറാകണമെന്നും ..",ജമ്മു: വോട്ട് ചെയ്താല്‍ മാത്രംപോര മാറ്റങ്ങള്‍ കൊണ്ടുവരണമെങ്കില്‍ തിരഞ്ഞെടുപ്പില്‍ മത്സരിക്കാന്‍ തയ്യാറാകണമെന്നും ജമ്മു കശ്മീര്‍ ലഫ്. ഗവര്‍ണര്‍ ജി. സി. മുര്‍മു. ജമ്മുവില്‍ സംഘടിപ്പിച്ച പത്താം ദേശീയ വോട്ടേഴ്‌സ് ദിന പരിപാടിയില്‍ പങ്കെടുത്ത് സംസാരിക്കുകയായിരുന്നു അദ്ദേഹം.,business
Latest News,"മൂല്യവർധിത നികുതിവർധന; ലോട്ടറി വില ഉയരും 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                            തിരുവനന്തപുരം: ആറു പ്രതിവാര ലോട്ടറിടിക്കറ്റുകളുടെ വില 30 -ൽനിന്ന് 40 രൂപയാക്കും. 50 രൂപ വിലയുള്ള കാരുണ്യലോട്ടറിയുടെ വില 40 രൂപയായി ..",സംസ്ഥാനസർക്കാർ നേരിട്ടുനടത്തുന്ന ഭാഗ്യക്കുറികൾക്ക് 12 ശതമാനവും ഇടനിലക്കാർവഴി നടത്തുന്ന ഇതരസംസ്ഥാന ലോട്ടറികൾക്ക് 28 ശതമാനവുമാണ് നിലവിലെ നികുതി. സംസ്ഥാനത്തിന്റെ എതിർപ്പ് അവഗണിച്ച് മാർച്ച് ഒന്നുമുതൽ എല്ലാ ലോട്ടറികളുടെയും നികുതി 28 ശതമാനമായി ഉയർത്താനാണ് തീരുമാനം.,business
India,"ഐഎസ്ആര്‍ഒയുടേയും ആണവ ശാസ്ത്രജ്ഞന്മാരുടേയും ഇമെയില്‍ ചോര്‍ത്തിയതായി റിപ്പോര്‍ട്ട്‌
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ന്യൂഡൽഹി: ഇന്ത്യയിലെ ആണവശാസ്ത്രജ്ഞരുടെയും ഐഎസ്ആര്‍ഒയുടെയും ഇമെയില്‍ ചോര്‍ത്തിയതായി ..",content highlights: At least 3000 government email IDs with the gov.in extension have been breached,technology
Latest News,"തിരിച്ചറിയാൻപോലും കഴിയാത്ത വിധത്തിൽ ഒമർ അബ്ദുള്ള 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ന്യൂഡൽഹി: കശ്മീരിന്റെ പ്രത്യേക പദവി എടുത്തുകളയുന്നതുമായി ബന്ധപ്പെട്ട് അഞ്ചുമാസമായി വീട്ടുതടങ്കലിലുള്ള കശ്മീർ മുൻ മുഖ്യമന്ത്രി ഒമർ അബ്ദുള്ളയുടെ ..",content highlights: bearded Omar abdulla in picture,entertainment
India,"ഇടിക്കൂട്ടിലെ സ്വര്‍ണതിളക്കത്തിന് പദ്മ വിഭൂഷണ്‍
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ലോക ചാമ്പ്യന്‍ഷിപ്പില്‍ ആറാം സ്വര്‍ണം നേടിയാണ് ഏറ്റവും കൂടുതല്‍ സ്വര്‍ണം നേടിയ താരമെന്ന ബഹുമതിക്ക് മേരി അര്‍ഹയായത് ..",2009-ല്‍ ഏഷ്യന്‍ ഇന്‍ഡോര്‍ ഗെയിംസില്‍ സ്വര്‍ണമെഡല്‍ നേടിക്കൊണ്ട് മേരി ഒരിക്കല്‍ക്കൂടി തന്റെ കരുത്ത് തെളിയിച്ചു. 2010-ല്‍ കസാഖിസ്താനില്‍ നടന്ന ഏഷ്യന്‍ വനിതാ ബോക്സിങ് ചാമ്പ്യന്‍ഷിപ്പിലും മേരി പൊന്നണിഞ്ഞു. 2014 ഏഷ്യന്‍ ഗെയിംസിലും മേരി കോം സ്വര്‍ണം നേടി. 2012-ലെ സമ്മര്‍ ഒളിമ്പിക്സില്‍ വെങ്കല മെഡല്‍ നേടിക്കൊണ്ട് ഇന്ത്യാ ചരിത്രത്തില്‍ത്തന്നെ ഇടം നേടാന്‍ മേരി കോമിന് കഴിഞ്ഞു. ആറു തവണ ലോക അമച്വര്‍ ബോക്സിങ് ചാമ്പ്യനായിത്തീരാന്‍ മേരി കോമിനു കഴിഞ്ഞു എന്നു പറയുമ്പോള്‍ ബോക്സിങ് മേഖലയിലുള്ള അവളുടെ പ്രാവീണ്യവും മികവും എത്രയെന്ന് നമുക്ക് ബോധ്യമാകും.,sports
Kerala,"സംസ്ഥാനത്ത് ഫെബ്രുവരി നാലിന് സ്വകാര്യ ബസ്സുകള്‍ പണിമുടക്കും
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                കോഴിക്കോട്: സംസ്ഥാനത്ത് ഫെബ്രുവരി നാലിന് സ്വകാര്യ ബസ്സുകള്‍ പണിമുടക്കും. സംയുക്തസമരസമിതിയുടേതാണ് തീരുമാനം.   മിനിമം ബസ് ചാര്‍ജ് ..",കോഴിക്കോട്: സംസ്ഥാനത്ത് ഫെബ്രുവരി നാലിന് സ്വകാര്യ ബസ്സുകള്‍ പണിമുടക്കും. സംയുക്തസമരസമിതിയുടേതാണ് തീരുമാനം. Skip,business
Kerala,"ഇന്ത്യ അഭയകേന്ദ്രമെന്ന് ഗവര്‍ണര്‍, മുഖ്യമന്ത്രിക്കും അഭിനന്ദനം; മലയാളത്തില്‍ ആശംസയും","സംസ്ഥാനത്ത് പ്രൈമറിതലം മുതല്‍ നല്‍കുന്ന ഡിജിറ്റല്‍ വിദ്യാഭ്യാസത്തെക്കുറിച്ചും പൊതുജനാരോഗ്യ രംഗത്തെക്കുറിച്ചും ഗവര്‍ണര്‍ പ്രസംഗത്തില്‍ പരാമര്‍ശിച്ചു. വിദ്യാഭ്യാസം, ആരോഗ്യം, ലിംഗസമത്വം എന്നിവയില്‍ കേരളം മികച്ച നേട്ടം കൈവരിച്ചു. കേരളത്തിലെ സ്റ്റാര്‍ട്ടപ്പ് മിഷനെയും വൈദ്യുത വാഹനങ്ങള്‍ക്ക് നല്‍കുന്ന പിന്തുണയെയും അദ്ദേഹം അഭിനന്ദിച്ചു.",technology
Kerala,മലയാളത്തിന്റെ 'ബോംബെ സിസ്‌റ്റേഴ്‌സിന്'  പദ്മശ്രീ,തൃശ്ശൂരില്‍ ജനിച്ച ഇരുവരും കുട്ടിക്കാലത്തു തന്നെ ജീവിതം ബോംബെയിലേക്ക് പറിച്ചുനട്ടു. കര്‍ണാടക സംഗീതലോകത്ത് അതികായരായി. കച്ചേരി അവതരിപ്പിക്കുന്ന സഹോദരിമാരെ ലോകം ശ്രദ്ധിയ്ക്കാന്‍ തുടങ്ങി.  ഇതോടെ ഇവര്‍ ബോംബൈ സിസ്‌റ്റേഴ്‌സ് എന്ന പേരില്‍ അറിയപ്പെട്ടു തുടങ്ങി.,entertainment
India,"എയര്‍ ഇന്ത്യയുടെ 100 % ഓഹരി വില്‍ക്കും:ആരും വാങ്ങിയില്ലെങ്കില്‍ അടച്ചുപൂട്ടേണ്ടി വരുമെന്ന് കേന്ദ്രം
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ന്യൂഡല്‍ഹി:  എയര്‍ ഇന്ത്യയുടെ 100 ശതമാനം ഓഹരികളും വിറ്റഴിക്കാനൊരുങ്ങി കേന്ദ്രസര്‍ക്കാര്‍. കനത്ത സാമ്പത്തിക ബാധ്യതയാണ് ..",2018ല്‍ 76 ശതമാനം ഓഹരികള്‍ വിറ്റഴിക്കാന്‍ കേന്ദ്രം ശ്രമിച്ചിരുന്നു. എന്നാല്‍ ആരും താത്പര്യം പ്രകടിപ്പിക്കാതിരുന്നതിനെ തുടര്‍ന്നാണ് 100 ശതമാനം ഓഹരികളും വിറ്റഴിക്കാനുള്ള തീരുമാനത്തിലെത്തിയിരിക്കുന്നത്. ഇത്തവണയും ആരും ഓഹരികള്‍ വാങ്ങാന്‍ മുന്നോട്ടുവന്നില്ലെങ്കില്‍ എയര്‍ ഇന്ത്യ അടച്ചുപൂട്ടേണ്ടി വരുമെന്നാണ് കേന്ദ്രത്തിന്റെ മുന്നറിയിപ്പ്.,business
Latest News,"ബാസ്‌ക്കറ്റ്ബോള്‍ കോര്‍ട്ടിലെ 'ബ്ലാക്ക് മാമ്പ'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        കാലിഫോര്‍ണിയയിലെ കലബസാസ് മേഖലയിലെ കുന്നിന്‍ ചെരുവില്‍ കോബി ബീന്‍ ബ്രയാന്റെ ഹെലികോപ്റ്റര്‍ തകര്‍ന്നുവീണപ്പോള്‍ ..",എത്ര വലിയ താരമാണെങ്കിലും ഏതൊരു മത്സരം തുടങ്ങുന്നതിനും മണിക്കൂറുകള്‍ക്ക് മുമ്പു തന്നെ കോബിയെ കോര്‍ട്ടില്‍ കാണാം. പക്ഷേ കൈയില്‍ പന്തുണ്ടാകില്ല. ഫൂട്ട് വര്‍ക്കില്‍ പരിശീലനം നേടുന്ന തിരക്കിലാകും കോബി.,sports
India,"ഇന്ത്യയിലാണ് ജീവിച്ചിരുന്നതെങ്കില്‍ നൊബേല്‍ സമ്മാനം ലഭിക്കുമായിരുന്നില്ല-അഭിജിത് ബാനര്‍ജി
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ജയ്പുര്‍: ഇന്ത്യയിലാണ് ജീവിച്ചിരുന്നതെങ്കില്‍ നൊബേല്‍ സമ്മാനം ലഭിക്കുമായിരുന്നില്ലെന്ന് ..",ജയ്പുര്‍: ഇന്ത്യയിലാണ് ജീവിച്ചിരുന്നതെങ്കില്‍ നൊബേല്‍ സമ്മാനം ലഭിക്കുമായിരുന്നില്ലെന്ന് പ്രശസ്ത സാമ്പത്തിക ശാസ്ത്രജ്ഞന്‍ അഭിജിത് ബാനര്‍ജി. ജയ്പുര്‍ ലിറ്ററേച്ചര്‍ ഫെസ്റ്റിവലില്‍ പങ്കെടുത്ത് സംസാരിക്കുകയായിരുന്നു അദ്ദേഹം. അമേരിക്കയിലെ മസാച്ചുസെറ്റ്‌സ് ഇന്‍സ്റ്റിട്യൂട്ട് ഓഫ് ടെക്‌നോളജിയില്‍ അധ്യാപകനാണ് അഭിജിത് ബാനര്‍ജി.,business
Latest News,"പറയാന്‍ വാക്കുകളില്ലെന്ന് മെസ്സി; കുട്ടിക്കാലത്ത് ടിവിയില്‍ കണ്ട ഓര്‍മ പങ്കുവെച്ച് കോലി
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ന്യൂഡല്‍ഹി:  കാലിഫോര്‍ണിയയിലെ കലബസാസ് മേഖലയിലെ കുന്നിന്‍ ചെരുവില്‍ ഹെലികോപ്ടര്‍ അപകടത്തില്‍ മരിച്ച അമേരിക്കയുടെ ..",കായികലോകത്തിന് ഇന്ന് ദു:ഖ ദിനമാണെന്നായിരുന്നു രോഹിത് ശര്‍മ്മയുടെ പോസ്റ്റ്. ഇതിഹാസതാരങ്ങളില്‍ ഒരാള്‍ക്കാണ് ഇന്ന് ലോകം വിട നല്‍കിയതെന്നും രോഹിത് ശര്‍മ്മ കുറിപ്പില്‍ പറയുന്നു.,sports
Latest News,"മരുഭൂമിയില്‍ പച്ചപ്പ് നിറയും യു.എ.ഇയില്‍ ഇനി വേനലിലും മഴ
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ദുബായ്: യു.എ.ഇയില്‍ വേനല്‍ക്കാലത്തും മഴ പെയ്യിക്കാനുള്ള കൃത്രിമ സംവിധാനങ്ങളുടെ ..","ദുബായ്: യു.എ.ഇയില്‍ വേനല്‍ക്കാലത്തും മഴ പെയ്യിക്കാനുള്ള കൃത്രിമ സംവിധാനങ്ങളുടെ പരീക്ഷണം അവസാനഘട്ടത്തിലെത്തി. കൂടുതല്‍ രാസ സംയുക്തങ്ങള്‍ മഴമേഘങ്ങളില്‍ വിതറി കൂടുതല്‍ മഴ ലഭിക്കാനും, മേഘങ്ങളെ മഴമേഘങ്ങളാക്കി മഴ പെയ്യിക്കാനുമുള്ള ഗവേഷണങ്ങളാണ് ഇപ്പോള്‍ അന്തിമഘട്ടത്തില്‍ എത്തിയിരിക്കുന്നത്. ഗവേഷണം പൂര്‍ത്തിയാകുന്നതോടെ ഇനി വേനല്‍ക്കാലത്തും യു.എ.ഇയില്‍ നല്ല മഴ ലഭിക്കുമെന്നാണ് പ്രതീക്ഷ.",technology
Latest News,"ഗ്രാമി 2020: പുരസ്‌കാര തിളക്കത്തില്‍ ബില്ലി എലിഷും ലിസോയും
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                62-ാമത് ഗ്രാമി പുരസ്‌കാരങ്ങള്‍ പ്രഖ്യാപിച്ചു. അമേരിക്കന്‍ ബാസ്‌കറ്റ് ബോള്‍ ഇതിഹാസം കോബി ബ്രയാന്റിന്റെ നിര്യാണത്തെ ..",മികച്ച റാപ്പ് ആല്‍ബം,entertainment
Latest News,"ചരിത്രം  ഈ മൃഗത്തിന് നേരേ തുപ്പും; അമിത് ഷായ്‌ക്കെതിരേ അനുരാഗ് കശ്യപ്
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        കേന്ദ്ര ആഭ്യന്തര മന്ത്രി അമിത് ഷാക്കെതിരെ രൂക്ഷ വിമര്‍ശനവുമായി സംവിധായകന്‍ അനുരാഗ് കശ്യപ്. ഡല്‍ഹിയില്‍ ബിജെപി നടത്തിയ ..","Content Highlights: ''History will spit on this animal'': Anurag Kashyap against Amit Shah, BJP Election Rally, attack against protesters",entertainment
India,"അഭ്യാസപ്രകടനങ്ങളുമായി വനിത സിആര്‍പിഎഫ് അംഗങ്ങള്‍, ആവേശത്തിരയില്‍ കാണികള്‍ 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ന്യൂഡല്‍ഹി:നിരവധി ചരിത്രമൂഹൂര്‍ത്തങ്ങള്‍ക്കാണ് 71-ാം റിപ്പബ്ലിക് ദിന പരേഡ് സാക്ഷ്യം വഹിച്ചത്. 65 വനിതാ സിആര്‍പിഎഫ് ..",Content Highlights: All women CRPF team  Republic Day parade,sports
Latest News,"കോബി എന്ന പേരു വന്നത് ജപ്പാൻ ബീഫിൽ നിന്ന് ; ആരാധകർക്ക് അവന്‍ കോര്‍ട്ടിലെ 'വിഷപ്പാമ്പ്'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ബാസ്‌ക്കറ്റ്‌ബോള്‍ കോര്‍ട്ടിനുള്ളില്‍ വിഷപ്പാമ്പ് പോലെയായിരുന്നു കോബി ബ്രയാന്റ്. എതിരാളികളെ വെട്ടിയൊഴിഞ്ഞുള്ള ..",Read More: ബാസ്‌ക്കറ്റ്ബോള്‍ കോര്‍ട്ടിലെ 'ബ്ലാക്ക് മാമ്പ',sports
World,"വരന്‍ വിമാനമാണ്, ആകാശത്ത് പറക്കുന്ന കാമുകനെ വിവാഹം കഴിക്കാനൊരുങ്ങി ജര്‍മന്‍ യുവതി
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ബെര്‍ലിന്‍:  മനുഷ്യര്‍ക്ക് പലതിനോടും അഭിനിവേശം തോന്നാറുണ്ട്. ഇഷ്ടം കൂടിയാല്‍ പിന്നെ അതിനെ വിട്ടുകളയാനും സാധിക്കാറില്ല ..",ബെര്‍ലിന്‍:  മനുഷ്യര്‍ക്ക് പലതിനോടും അഭിനിവേശം തോന്നാറുണ്ട്. ഇഷ്ടം കൂടിയാല്‍ പിന്നെ അതിനെ വിട്ടുകളയാനും സാധിക്കാറില്ല. എന്നാല്‍ വിമാനത്തിനോടുള്ള അഭിനിവേശം മൂത്ത് അതിനെയങ്ങ് വിവാഹം കഴിക്കാമെന്ന് തീരുമാനിച്ചാലോ?  അങ്ങ് ജര്‍മനിയില്‍ അത്തരമൊരു വിവാഹം നടക്കാന്‍ പോവുകയാണ്. വരന്‍ ബോയിങ് 737-800 വിമാനമാണ്. വധു ജര്‍മന്‍കാരിയായ മിഷേല്‍ കോബ്കി. കഴിഞ്ഞ ആറുവര്‍ഷമായത്രെ മിഷേലും ബോയിങ് വിമാനവും പ്രണയത്തിലായിട്ട്..!,entertainment
